"국가별","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"슬로바키아","수출금액[천불]","천불","246515","254312","259034","236410","240582","201867","249665","205720","240484","237568","212081","229139","170924","226629","201482","271689","243201","220550","306662","254619","244422","182382","186061","190008","173199","158356","187476","214649","183162","186325","210643",
"슬로바키아","수입금액[천불]","천불","74657","77777","76051","39831","42477","48068","78165","65944","48538","72465","54495","64859","55393","57491","94040","97690","78578","72515","55153","57464","60422","31620","60775","54705","44119","52322","52380","66759","56164","80163","38904",
"슬로바키아","무역수지[천불]","천불","171858","176535","182984","196580","198104","153798","171500","139776","191946","165103","157586","164280","115531","169137","107442","173999","164622","148034","251509","197155","184000","150762","125286","135302","129079","106034","135096","147890","126999","106162","171739",
"스페인","수출금액[천불]","천불","266465","279535","345869","286328","276879","276971","293632","255097","227762","283433","279951","318254","242348","280928","278877","387507","265978","258211","343734","294979","272029","278641","303236","355628","303363","290746","436827","318854","354408","328879","481291",
"스페인","수입금액[천불]","천불","187034","167505","200871","250498","203041","208037","234667","211042","224537","200360","155800","171733","225942","174613","209401","188412","228581","223762","212276","227339","216033","206130","229545","283179","221376","198464","266958","242716","260926","251871","196802",
"스페인","무역수지[천불]","천불","79431","112030","144998","35830","73838","68934","58965","44055","3225","83073","124152","146521","16406","106315","69475","199095","37397","34449","131458","67640","55996","72511","73691","72449","81987","92282","169868","76137","93482","77008","284489",
"벨기에","수출금액[천불]","천불","320672","380643","383855","362426","385088","402977","319539","359929","384127","344073","382781","281446","312584","334878","282067","448243","311616","300420","328121","302378","371072","297391","321103","298150","334373","348497","707088","353464","436968","428211","496557",
"벨기에","수입금액[천불]","천불","107026","112108","103807","111236","171486","106355","102360","101512","277357","129899","80098","134240","124649","85548","100789","120168","93165","116758","135979","109993","233269","89415","113110","121474","109830","159541","142204","138677","90133","123573","150733",
"벨기에","무역수지[천불]","천불","213646","268535","280048","251190","213602","296622","217180","258417","106770","214174","302683","147207","187935","249330","181278","328074","218451","183662","192143","192385","137804","207976","207993","176675","224542","188956","564884","214787","346835","304638","345824",
"칠레","수출금액[천불]","천불","167814","177127","107911","114374","80003","78542","89706","145693","164516","127961","124504","102205","123920","119174","157369","136729","107525","95302","182472","156573","256668","86957","91770","166842","115154","109888","108502","110266","86772","120890","200040",
"칠레","수입금액[천불]","천불","280609","552800","464697","413111","576656","414570","420023","357046","488236","370215","258610","360750","366209","260064","475593","546553","362960","367184","426377","266548","433210","377734","470653","387970","358156","363829","695698","534568","520294","767975","569500",
